t_index    term   df
bf4dbc9b   baptist   6
eed7de5c   bar   66
8573daaf   barak   14
d1639c87   barb   4
a5200163   barbar   2
25de55b9   barbara   28
0c012526   barber   1
be32f31b   barbershop   1
d701d4fd   barcelona   1
d433db99   bare   50
629ea66e   barefacedli   1
aa170bc1   barent   47
ba085990   barg   4
b83270c9   bargain   13
b0a8d7ac   bari   1
de9355a5   bark   1
48412a4d   barkina   4
3abbb2e8   barkolla   1
1b72e0d3   barkova   5
7b98d73d   barna   4
39c7d848   barnei   1
3fc7ef86   barnstorm   1
bce91ab4   barot   1
d2d298bd   barov   1
a1b88dcb   barr   3
9f7f83a3   barrack   36
ce585f25   barrag   2
06b2304b   barrel   2
9a412349   barrera   4
2b8ce2c4   barri   1
805a15a2   barricad   23
7e8f4826   barrier   16
af8bcd7f   bartlett   2
e91f25d5   barua   8
08f2c24b   base   294
59f0c4bd   basebal   10
4f071834   baselin   21
af33bc48   basement   1
8da63cf7   basher   1
59ebc837   bashraheel   1
e9a39dab   bashrahel   1
6c69ce7e   basi   16
e8714202   basic   52
85e8caba   basilica   1
02524c77   bask   2
b61ed3ef   basket   3
f77608e1   basketbal   1
feb29cfc   basset   1
e48d5e33   bassiouni   1
66110dfc   bastion   6
4120b806   batch   1
a10ac04d   bath   8
986ebd82   bathroom   3
27acf76f   bathtub   2
7d364907   batic   2
080f52d3   baton   4
a9900e63   battalion   3
a6068e86   batten   1
b24693ff   batter   8
67842a1d   batteri   2
f4b32232   battl   92
28a79ae0   battlefield   4
dd3f812e   battleground   9
77bd500d   bauman   7
0cec00dc   bautista   1
a355c70e   bavaria   1
264d8298   bazaar   1
fa4ee566   bbc   39
afba7d61   beach   17
8ea34ac5   beachfront   1
bf58c2f8   bead   1
07b5cade   beal   2
b0a80bda   beam   16
698e48d7   bean   3
7dce55ae   bear   26
047b3996   beard   21
32d5388c   bearer   2
cf83d3b4   beat   196
347ef6f1   beaten   35
203eeb88   beater   3
a16d977f   beaumont   1
79d8212c   beauti   6
2e675a8b   beaver   2
c516fbd5   becam   122
b646513b   becaus   562
d7c6c75a   becausec   1
6340fd69   beci   2
24fdb522   becker   2
31ea65ba   becom   144
85606d4f   bed   39
8202830a   bedanova   3
193e325e   bedi   34
aba7ee77   bedouin   1
89a8e321   bedroom   6
a5eebeef   bedsheet   1
784264b4   beef   6
d4ef71eb   beer   2
7360d137   befit   1
679281c8   befor   585
9ece3cf8   befriend   1
7f09b55f   befuddl   1
5c462e42   beg   4
ac46c312   beggar   1
ba38af8a   begun   35
54c518b1   behalf   9
ada114d4   behan   1
